### Footprint positions - created on 2026-03-27T14:11:07+0000 ###
### Printed by KiCad version 9.0.7
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val                  Package                               PosX       PosY       Rot  Side
BT1       54                   54                                 63.6180   -63.7200   90.0000  bottom
BT2       54                   54_SLOT                            68.6980  -109.7200  -90.0000  bottom
BZ1       PS1240P02CT3         PS1240P02BT                        94.3000  -120.2000    0.0000  bottom
J2        Conn_01x05_Pin       PinHeader_1x05_P2.54mm_Vertical   109.1250  -121.9700    0.0000  bottom
J3        Conn_01x04_Pin       PinHeader_1x04_P2.54mm_Vertical   109.1250  -108.0500   90.0000  bottom
J4        Conn_02x03_Odd_Even  PinHeader_2x03_P2.54mm_Vertical   102.7000  -119.3400    0.0000  bottom
J5        AST0250404           AST250404                          83.3000   -55.9500    0.0000  bottom
J6        Conn_01x05           PinHeader_1x05_P2.54mm_Vertical    94.5650  -128.2000  -90.0000  bottom
JOY1      THB001P              THB001P                           108.0000   -91.0000   90.0000  bottom
LED2      MP008267             MP008267                          108.3750   -57.2500  -90.0000  bottom
SW3       1825027-8            1825027-8                         111.8550   -73.3500  -90.0000  bottom
## End
