### Footprint positions - created on 2026-03-27T14:11:07+0000 ###
### Printed by KiCad version 9.0.7
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        15pF                         C_0402_1005Metric                                          94.1000  -108.2000  -90.0000  top
C2        15pF                         C_0402_1005Metric                                          94.0000  -105.2000   90.0000  top
C3        0.1uF                        C_0402_1005Metric                                          76.0780  -112.0480    0.0000  top
C4        0.1uF                        C_0402_1005Metric                                          78.2605  -107.7160  180.0000  top
C5        0.1uF                        C_0402_1005Metric                                          92.2000  -105.1000    0.0000  top
C6        1uF                          C_0603_1608Metric                                          79.3500  -103.3250  180.0000  top
C7        0.1uF                        C_0402_1005Metric                                          78.2605  -106.7000  180.0000  top
C8        1uF                          C_0603_1608Metric                                          79.3500  -101.7750  180.0000  top
C9        0.1uF                        C_0402_1005Metric                                          82.3000  -111.2000  180.0000  top
C10       0.1uF                        C_0402_1005Metric                                          87.0000  -100.1000   90.0000  top
C11       0.1uF                        C_0402_1005Metric                                          87.4000  -112.2000  -90.0000  top
C12       0.1uF                        C_0402_1005Metric                                          92.2220  -106.1000    0.0000  top
C13       0.1uF                        C_0402_1005Metric                                          83.3500  -100.9000   90.0000  top
C14       0.1uF                        C_0402_1005Metric                                          82.3340  -100.9000   90.0000  top
C15       0.1uF                        C_0402_1005Metric                                          88.0250   -76.2990   90.0000  top
C16       10uF                         C_0603_1608Metric                                          91.6460   -70.9780   90.0000  top
C17       0.1uF                        C_0402_1005Metric                                          90.3760   -70.9780   90.0000  top
C18       0.1uF                        C_0402_1005Metric                                          94.7000   -78.3000    0.0000  top
C19       0.1uF                        C_0402_1005Metric                                          94.7170   -77.2490    0.0000  top
C20       470pF                        C_0402_1005Metric                                          88.1750   -65.2890  180.0000  top
C21       470pF                        C_0402_1005Metric                                          82.1750   -65.2566  180.0000  top
C22       470pF                        C_0402_1005Metric                                          93.8000   -65.2890    0.0000  top
C23       470pF                        C_0402_1005Metric                                          99.8200   -65.2566    0.0000  top
C24       1uF                          C_0603_1608Metric                                          61.2000  -100.8875    0.0000  top
C25       22uF                         C_1206_3216Metric                                          61.3000   -77.3250  -90.0000  top
C26       0.1uF                        C_0402_1005Metric                                          71.3300   -77.8250    0.0000  top
C27       4.7uF                        C_0603_1608Metric                                          76.1000  -118.8500  -90.0000  top
C28       0.1uF                        C_0402_1005Metric                                          69.5050   -76.2750  180.0000  top
C29       10uF                         C_0603_1608Metric                                          69.1500   -98.6000  -90.0000  top
C30       4.7uF                        C_0603_1608Metric                                          69.6750  -118.6000   90.0000  top
C31       4.7uF                        C_0603_1608Metric                                          64.9250   -76.0250  180.0000  top
C32       1uF                          C_0603_1608Metric                                          68.5250   -80.8750  180.0000  top
C33       4700pF                       C_0402_1005Metric                                          65.0500   -81.5950  -90.0000  top
C34       22uF                         C_1210_3225Metric                                          68.5000   -83.3750  180.0000  top
C35       22uF                         C_1210_3225Metric                                          68.5000   -86.6500  180.0000  top
C36       22uF                         C_1210_3225Metric                                          68.5000   -89.9250  180.0000  top
C37       1uF                          C_0603_1608Metric                                          74.8500   -58.4250   90.0000  top
C38       10uF                         C_0603_1608Metric                                          75.6750   -72.5250    0.0000  top
C39       0.1uF                        C_0402_1005Metric                                          58.7950   -58.9250  180.0000  top
C40       0.1uF                        C_0402_1005Metric                                          61.5950   -88.2000  180.0000  top
C41       0.1uF                        C_0402_1005Metric                                          77.9750   -96.2300  -90.0000  top
C42       0.1uF                        C_0402_1005Metric                                          87.6300  -117.5000  180.0000  top
C43       0.1uF                        C_0402_1005Metric                                         109.6000   -90.4950  -90.0000  top
C44       0.1uF                        C_0402_1005Metric                                          98.2000   -87.0300  -90.0000  top
D1        1N4148W-TP                   SOD-123                                                    74.9500  -125.3500   90.0000  top
D2        SMF12A                       D_SMF                                                      80.3000   -74.3000  -90.0000  top
D3        B5819W-TP                    SDO_SOD-123_MCC                                            88.8268   -63.4786  180.0000  top
D4        B5819W-TP                    SDO_SOD-123_MCC                                            88.8268   -61.1926    0.0000  top
D5        B5819W-TP                    SDO_SOD-123_MCC                                            82.1084   -63.4786    0.0000  top
D6        B5819W-TP                    SDO_SOD-123_MCC                                            82.1084   -61.1926  180.0000  top
D7        B5819W-TP                    SDO_SOD-123_MCC                                            93.2844   -63.4786    0.0000  top
D8        B5819W-TP                    SDO_SOD-123_MCC                                            93.2844   -61.1926  180.0000  top
D9        B5819W-TP                    SDO_SOD-123_MCC                                            99.6344   -63.4786  180.0000  top
D10       B5819W-TP                    SDO_SOD-123_MCC                                            99.6344   -61.1926    0.0000  top
D12       BAT54C-7-F                   SOT-23-3                                                   76.8750   -67.3250    0.0000  top
D13       1N4148W-TP                   SOD-123                                                    76.5500   -78.4500   90.0000  top
FID1      Fiducial                     Fiducial_1mm_Mask2mm                                       58.4500  -120.4750    0.0000  top
FID2      Fiducial                     Fiducial_1mm_Mask2mm                                       79.8000   -55.8250    0.0000  top
FID3      Fiducial                     Fiducial_1mm_Mask2mm                                      108.8250   -82.3250    0.0000  top
J1        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal    82.0580  -126.6300    0.0000  top
L1        HI1206T500R-10               IND_HI1206T500R-10_LRD                                     86.6804   -68.0570  -90.0000  top
L2        HI1206T500R-10               IND_HI1206T500R-10_LRD                                     84.1404   -68.0570  -90.0000  top
L3        HI1206T500R-10               IND_HI1206T500R-10_LRD                                     95.3164   -68.0570  -90.0000  top
L4        HI1206T500R-10               IND_HI1206T500R-10_LRD                                     97.8564   -68.0570  -90.0000  top
L5        1.8uH                        INDPM9585X300N                                             65.2750   -70.2000    0.0000  top
LED1      IN-S63AS5A                   INS63AS5UW                                                 90.2500  -128.6500  180.0000  top
Q1        BSS84                        SOT-23-3                                                   89.3000   -86.5000    0.0000  top
Q2        2N7002-7-F                   SOT-23-3                                                   85.5000   -82.7500    0.0000  top
Q4        2N7002-7-F                   SOT-23-3                                                   76.9000   -63.2000    0.0000  top
Q5        SSM3J328R_LF                 SOT-23F_TOS                                                72.4000   -58.8500  180.0000  top
Q6        2N7002-7-F                   SOT-23-3                                                   70.9000   -53.7250   90.0000  top
Q7        2N7002-7-F                   SOT-23-3                                                   91.2000  -122.8000    0.0000  top
R1        1k                           R_0402_1005Metric                                          79.0000  -113.2000    0.0000  top
R3        5.1kR                        R_0603_1608Metric                                          78.5000  -119.5000  -90.0000  top
R4        5.1kR                        R_0603_1608Metric                                          84.3500  -119.7500  -90.0000  top
R5        1k                           R_0402_1005Metric                                          92.2220  -107.1350    0.0000  top
R6        27R                          R_0402_1005Metric                                          79.3700  -105.6125    0.0000  top
R7        27R                          R_0402_1005Metric                                          79.3700  -104.6000    0.0000  top
R8        100R                         R_0603_1608Metric                                          84.1250   -87.3000  180.0000  top
R9        10kR                         R_0603_1608Metric                                          84.1250   -85.7000    0.0000  top
R10       10kR                         R_0603_1608Metric                                          86.6000   -86.6000  -90.0000  top
R11       10kR                         R_0603_1608Metric                                          93.7000   -81.3000  -90.0000  top
R12       10kR                         R_0603_1608Metric                                          85.8000   -79.9000  180.0000  top
R13       10kR                         R_0603_1608Metric                                          85.8000   -78.3000  180.0000  top
R14       10kR                         R_0603_1608Metric                                          91.1000   -83.6480  180.0000  top
R15       10kR                         R_0603_1608Metric                                          91.1000   -82.1240  180.0000  top
R16       10kR                         R_0603_1608Metric                                          91.1000   -80.6000  180.0000  top
R17       1kR                          R_0603_1608Metric                                          98.0500   -80.5000    0.0000  top
R18       100kR                        R_0603_1608Metric                                          95.5000   -81.3000  -90.0000  top
R19       150mR                        R_1206_3216Metric                                          83.8864   -75.5500    0.0000  top
R20       150mR                        R_1206_3216Metric                                          98.1104   -75.5500  180.0000  top
R22       0R                           R_0603_1608Metric                                          72.4750   -64.1000   90.0000  top
R24       3.3kR                        R_0603_1608Metric                                          72.3250  -115.9500    0.0000  top
R25       301kR                        R_0402_1005Metric                                          67.5900   -76.2750    0.0000  top
R26       620R                         R_0603_1608Metric                                          89.3000  -127.0000    0.0000  top
R27       17.4kR                       R_0402_1005Metric                                          65.5150   -80.1000    0.0000  top
R28       127kR                        R_0402_1005Metric                                          71.3250   -78.8250  180.0000  top
R29       787kR                        R_0402_1005Metric                                          65.4900   -78.4000  180.0000  top
R30       107kR                        R_0402_1005Metric                                          65.4900   -77.3500    0.0000  top
R31       0R                           R_0603_1608Metric                                          71.5250   -92.3500  180.0000  top
R32       1Meg                         R_0603_1608Metric                                          76.4000   -58.4250  -90.0000  top
R34       100kR                        R_0603_1608Metric                                          75.6750   -70.7000  180.0000  top
R35       10kR                         R_0603_1608Metric                                          75.7250   -74.3750    0.0000  top
R36       330R                         R_0603_1608Metric                                          62.7500   -58.9500    0.0000  top
R37       0R                           R_0603_1608Metric                                          58.2500   -56.7750  -90.0000  top
R38       5.1MR                        R_0603_1608Metric                                          59.8500   -56.7750  -90.0000  top
R39       100kR                        R_0603_1608Metric                                          61.2500   -85.3750  180.0000  top
R40       100kR                        R_0603_1608Metric                                          61.2500   -86.9250    0.0000  top
R41       100kR                        R_0603_1608Metric                                          75.9500   -94.2110  180.0000  top
R42       10kR                         R_0603_1608Metric                                          75.9500   -95.7600  180.0000  top
R43       10kR                         R_0603_1608Metric                                          75.9500   -97.3100    0.0000  top
R44       56kR                         R_0603_1608Metric                                          87.3250  -120.3250  180.0000  top
R45       100kR                        R_0603_1608Metric                                          87.3250  -118.8010    0.0000  top
R46       2.2kR                        R_0402_1005Metric                                          63.3500   -57.0650  -90.0000  top
R47       100R                         R_0603_1608Metric                                          66.2500   -51.6000  180.0000  top
R48       5.1MR                        R_0603_1608Metric                                          63.6750   -52.3750  -90.0000  top
R49       120R                         R_0603_1608Metric                                         103.5750   -58.7750  180.0000  top
R50       120R                         R_0603_1608Metric                                         102.5000   -54.7000   90.0000  top
R51       120R                         R_0603_1608Metric                                         104.0750   -54.7000   90.0000  top
R52       22R                          R_0603_1608Metric                                         103.5750   -57.2250  180.0000  top
R53       1kR                          R_0603_1608Metric                                          91.0000  -118.2750  180.0000  top
